Target_ID,Chat_Name,Total_Turns,Avg_Prompt_Length,Filler_Word_Count,Explicit_Constraints,First_Prompt_Preview
85,Digital Product Sales on Gumroad,1,20,0,0,i want to sell digital producrts on gumroad what are the things i can sell ...
86,AI Assistant Capabilities Overview,3,14,0,0,What can you help me with?
88,Python Code Quiz Challenge,1,124,4,2,Hi Claude! Could you quiz me on python code? If you need more information f...
89,Git Learning and GitHub Profile Optimization,4,74,0,0,You are my **Git Learning Coach and GitHub Profile Consultant**. My goal: *...
90,Idea Organization Strategy,3,98,0,0,You are my **Idea Organization and Workflow Design Consultant**. I have mul...
91,CDMA Signal Estimation Problem,1,21,0,0,"solve the question wrt to the info uploaded in the other picture, give me p..."
92,Integral of cos(θ) sin(θ),2,12,0,0,"integral of cos thetha into sin theta in the range 0,pi by 2 is what"
93,Complex Integral Evaluation,3,10,0,0,"Z ∞ 0 (τ − µτ ) 2 ρh(τ, 0) dτ how is this integration done"
94,Base Station Path Loss Calculation,1,217,0,2,tell me if the solution given is correct> A base station is placed at a hei...
95,Skill Paralysis: Dreaming vs Doing,5,43,4,0,why do i have this urge to learn every skill and master it and i dont even ...
96,Learning Rust Programming,10,24,0,0,"if i wanted to learn rust and try to implement it,where can i do it and how..."
97,Mastering Conversational German,2,159,1,0,"You are my private German tutor, and I want you to help me become a confide..."
98,Career Strategy: German Automotive Industry,1,190,0,0,You are my career advisor. Your goal is to help me get a job in Germany by ...
99,Syndrome Decoding Problem Explained,2,13,0,0,explain this syndrome decoding problem including detail steps and how each ...
100,Linear Cyclic Codes Explained,2,18,0,0,"as a total beginner to channel coding, what is linear cyclcic codes at its ..."
101,72-Hour Online Money Sprint,1,78,1,1,"Act like you're stuck in a small room, dead broke, no connections, in Germa..."
102,Error Patterns and Syndrome Mapping,2,18,0,0,Construct a table of error patterns (coset leaders) corresponding to the sy...
103,Square Cellular System Geometry,6,50,0,1,A cellular system with square cells and outer radius R is being deployed. (...
104,Thesis Topic Research at FAPS,7,167,3,4,https://www.faps.fau.de/studium/studentische-arbeiten/ go through thementio...
105,AI Internship Prep Study Plan,1,314,2,0,Thank you for reaching out. While I don't have any specific course in mind ...
106,Job Contract Acceptance and Onboarding,2,67,4,1,Thank you so much for your clarifications regarding the non-compete clause ...
107,Manus AI: Autonomous Task Automation,1,10,0,0,what is manus ai and how can i use it
108,AI-Integrated Embedded Systems Career Strategy,5,74,0,0,You are an expert **career development strategist and technical upskilling ...
109,NI Germany Employment Onboarding,1,296,5,3,"**Biro, Loretta** <loretta.biro@emerson.com> 11:37 AM (2 hours ago) to me, ..."
110,Thesis Application Email Strategy,2,282,0,2,You are an academic and professional communication advisor who specialises ...
111,Thesis Proposal: Indoor Positioning Research,2,112,2,0,"I hope you’re doing well. My name is Lohith Tarikere Prasanna, and I’m a Ma..."
112,Thesis Project Application Strategy,5,253,1,1,**Your Optimized Prompt:** You are an academic and professional communicati...
113,LabVIEW Learning for Beginners,3,83,0,0,You are an expert LabVIEW instructor and learning strategist with experienc...
114,Mental Decluttering Strategy,4,46,2,0,"currently,there is a lot on my mind. help me declutter and make a plan with..."
115,Strategic Performance Optimization,1,155,0,0,Act as my personal strategic advisor with the following content> - You have...
116,Communication Skills Enhancement,1,122,4,2,Hi Claude! Could you improve communication skills? If you need more informa...
117,AI Agent Learning Roadmap,7,64,3,0,there is a lot of buzz going around generative ai and ai agents. it is all ...
118,Polishing page layout and text alignment,2,19,0,0,if i had to fix the alightment of text and all the elements in this page to...
119,Resume and cover letter automation project,2,108,2,1,"i need to setup a new  claude project, where it contains my resume in latex..."
120,Async/await patterns for beginners,3,10,0,0,explain in detail for a beginner to understand : Understanding of async/awa...
121,Building a simple PWA,6,94,7,1,"I want to a build this PWA, i want to use the simplest of tasks no"
122,Preparing application for ML cyber-physical event detection project,3,140,1,3,Machine Learning for Cyber-Physical Event Detection in Smart Grids Modern p...
123,Setting up Hermes agent with Ollama locally,3,47,1,3,I want to install hermes agent and run it with a local model like hermes3 u...
124,Resume optimization for student and internship roles,11,64,0,3,"this is my resume, what are the typical changes should i be looking for wer..."
125,Ghostwriting a thesis application email,1,414,1,1,/ghost write a email for applying to a project thesis The topic :  Enter yo...
126,Using Nvidia's free AI models and tools,54,65,5,8,"what can i do with the nvdia build free ai models and tools,"
127,MATLAB experiment concepts and theory preparation,11,17,1,1,"this is the exercise i have tommorow morning, i need to preprare my cocnept..."
128,Hermes agent and Kimi K 2.6 integration with OpenRouter,4,24,2,0,"i want to understand everything regarding hermes agent+kimi k 2.6 , how doe..."
129,Detecting and revising AI-written theory answers,1,19,0,0,/humanizer check the theory answers and see if any of them seem like writte...
130,Learning deep learning through tiny torch,17,46,0,2,I want to currently learn deep learning concepts but not the usual way. i f...
131,Council decision review,5,13,0,1,council this based on the decisions made
132,Adding LLM council skill,1,13,0,0,"this is the skill, add it as llm council to my skills folder:"
133,App idea POC analysis and competitor research,2,47,1,0,this is the poc document for an app idea i have: analyse this and find out ...
134,Flachdraht-Richtverfahren für Hairpin-Statoren,10,75,2,1,https://www.faps.fau.de/studemp/smart-manufacturing-erprobung-und-weiterent...
135,Building an AI and connectivity portfolio for internship readiness,16,85,2,7,"based on this document , where do you think i am lacking, i always want to ..."
136,Update humanizer skill from repository,1,13,0,0,update the humanizer skill with the new version by pulling this repo: https...
137,Open source model for MacBook Air M5,1,19,0,0,what is the best open source model to run on macbook air 24gb m5 right now ...
138,MATLAB laboratory course preparation,13,19,1,2,ok i have my matlab laboratory course tomorrow and i have to prepare for it...
139,Friedrich Alexander University overview,2,4,0,0,how is friedrich alexander university?
140,Local private career agent setup and model selection,42,82,10,13,I am trying to build an agent using ollama to run my local ai and is anythi...
141,Finding relevant student jobs in Bavaria,3,117,0,0,"use the apify connector.this is my resume, find werkstudent or internship r..."
142,Arc browser extensions and ad blockers,2,8,0,0,does arc browser  have extensions that can be installed and ad blockers?
143,MacBook setup guide for beginners,36,14,3,0,so i recently bought a macbook and now i need to set it up properly. but fi...
144,Building relationships with professors for thesis projects,1,32,0,0,how to start talking to professors and ease into asking for a prject thesis...
